Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
399109,32,60,Hg + NaCl,solid,124,227.45,500.6,1.8,2.90238,0.00220145,3.34787,0.00141449,4.73778,0.000541373,5.80494,0.00144825,7.49566,0.00166253,8.20721,0.00228544,23.906301599381887,0.019937213,4.0131123403291165,0.10970808570596641,,
399110,32,60,Hg,solid,124,229.65,502.8,1.4,,,,,,,,,,,,,,,,,,
399096,32,60,Hg + NaCl,solid,106,188.2,461.35,1.1,2.88256,0.00106468,3.3296,0.00103145,4.70974,0.000328674,5.76938,0.000573645,7.45077,0.00083279,8.15809,0.00145853,24.339982291542757,0.013032682,3.2718341040794274,0.057944918,,
399097,32,60,Hg,solid,106,188.45,461.6,1.1,,,,,,,,,,,,,,,,,,
399099,32,60,Hg + NaCl,solid,108,192.9,466.05,1.1,2.89422,0.00179973,3.34188,0.00118014,4.72825,0.000579571,5.79161,0.00100796,7.47965,0.0013616,8.19038,0.0021121,24.05372335494907,0.018576914,3.7394247174902233,0.088744779,,
399100,32,60,Hg + NaCl,solid,111,196.25,469.4,1.6,2.89569,0.00174552,3.34191,0.00111771,4.72897,0.000567387,5.79242,0.000981018,7.47912,0.0013867,8.19119,0.00237942,24.046600432018753,0.020919846,3.756681634747235,0.08783604,,
399101,32,60,Hg + NaCl,solid,112,199.7,472.85,1,2.8954,0.00174325,3.34178,0.00118808,4.72907,0.000570888,5.79343,0.00105262,7.48068,0.00148996,8.1924,0.00235072,24.035965260583136,0.020655313,3.765186557,0.089195369,,
399098,32,60,Hg,solid,108,188.5,461.65,1,,,,,,,,,,,,,,,,,,
399104,32,60,Hg + NaCl,solid,119,212.7,485.85,1.7,2.89743,0.0018638,3.34517,0.00122335,4.73345,0.000559131,5.79716,0.00117538,7.48687,0.00159127,8.19839,0.00247489,23.983409152550948,0.021682912,3.8656041216758337,0.095181211,,
399105,32,60,Hg + NaCl,solid,122,217.65,490.8,1.7,2.89758,0.00228963,3.34503,0.00109162,4.73332,0.000563284,5.79831,0.00125214,7.48717,0.00149574,8.20109,0.00254404,23.95976958,0.022259422,3.877064462588807,0.10628121903063881,,
